job_list_id,Company,Title,Link,Job,Location
26,(주)클로잇,[클로잇] TA / AA / Consultant 직군 채용 (경력) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49570258,"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 유지보수",서울 중구
27,(주)아이티공간,SI : 웹 : 시스템 : 프로젝트 개발 PL PM 프로그램 개발자 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49334900,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발",부산 기장군 외
28,(주)테라젠헬스,(주)테라젠헬스 IT팀 웹개발자 경력 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49551621,"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터",경기 성남시 분당구
29,(주)쇼엠,[인천 송도 근무] 파이썬 개발자 사원 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49536040,"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 유지보수",인천 연수구 외
30,넛지헬스케어(주),[넛지헬스케어] 백엔드개발 채용전환형 인턴 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49523378,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수",서울 강남구
31,(주)누리어시스템,"[금융SM] 손해보험 운영 정규직 웹/앱 개발자 (Java, jsp) 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49535028,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 프론트엔드",서울 서대문구 외
32,(주)이지미디어,웹/모바일 개발자 경력직 모집(운영연구개발팀) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49520882,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, Android",서울 구로구
33,주식회사 이지서티,[이지서티] 호남지사(광주) 솔루션 엔지니어 경력사원 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49511707,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발",광주 동구
34,(주)이지미디어,웹/모바일 JAVA 개발자 경력직 모집(개발팀) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49504344,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, Android",서울 구로구
35,(주)위펀,(주)위펀 - Backend Engineer 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49373335,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수",서울 강남구 외
36,(주)위펀,(주)위펀 - Frontend Engineer (React) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49373304,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수",서울 강남구 외
37,넛지헬스케어(주),[넛지헬스케어] 풀스택개발 산업기능요원 (병역특례) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49437986,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발",서울 강남구
