course_id,auth,academy_name,region,course_name,start_date,end_date,tr_date,total_hour,employment_rate,price_total,self_payment
838,우수훈련기관 5년 인증,(주)이젠아카데미컴퓨터학원(성남분당),경기 성남시 분당구,"[일반고특화]정보보안 (모의해킹) 전문가 양성과정(정보처리기능사, 네트워크관리사 2급)",20250306,20251231,176,1232,91.3,8349600,0
839,우수훈련기관 5년 인증,하이미디어아카데미,서울 강남구,심화_생성형 AI활용 인재양성과정 (조별멘토),20250307,20250430,44,349,해당없음,5097490,0
840,우수훈련기관 5년 인증,더조은컴퓨터아카데미전주 (주),전북 전주시 완산구,[일반고]영상을 활용한 스마트콘텐츠구현&웹디자인기능사 취득과정,20250307,20251231,195,1265,해당없음,8345380,0
841,우수훈련기관 5년 인증,더조은컴퓨터아카데미전주 (주),전북 전주시 완산구,"[일반고]디지털디자인&전자출판디자인(웹디자인,컴퓨터그래픽스기능사)",20250307,20251231,183,1248,해당없음,8466240,0
842,우수훈련기관 5년 인증,더조은컴퓨터아카데미전주 (주),전북 전주시 완산구,"[일반고]생성형AI를 활용한 스마트미디어콘텐츠구현(웹디자인,GTQ 취득)",20250307,20251231,183,1248,해당없음,8466240,0
843,우수훈련기관 5년 인증,이젠IT컴퓨터아카데미,경기 성남시 중원구,[응용SW엔지니어링] 자바(JAVA) 프로그래밍,20250308,20250503,9,60,해당없음,397200,139020
844,훈련기관 3년 인증,경영기술개발원교육센터주식회사,서울 구로구,파이썬(Python)기반 빅데이터분석 및 시각화 ,20250308,20250419,6,36,해당없음,238320,83420
845,우수훈련기관 5년 인증,이젠아카데미DX교육센터,서울 서초구,"SQL 개발자 자격증(SQLD, 데이터자격시험)",20250308,20250426,8,60,50,397200,139020
846,"우수훈련기관,BHA 5년 인증",구디아카데미,서울 금천구,(산대특)_클라우드(AWS)기반 CI/CD환경 구축 실무_육성,20250308,20250329,4,32,해당없음,449080,0
847,훈련기관 3년 인증,비트교육센터,서울 서초구,(산대특)_AWS 클라우드 전문가(Foundational) 향상과정_육성,20250308,20250329,4,28,해당없음,240960,0
848,훈련기관 3년 인증,경영기술개발원교육센터주식회사,서울 구로구,자바(JAVA) 프로그래밍 입문,20250308,20250419,6,42,해당없음,278040,97320
849,우수훈련기관 5년 인증,이젠아카데미DX교육센터,서울 서초구,"피그마(Figma) UIUX 포트폴리오(HTML,웹표준)",20250308,20250412,6,36,50,238320,83420
850,훈련기관 3년 인증,(재)한국아이티교육재단 한국IT직업전문학교,서울 서초구,AWS 클라우드 서비스 기본활용 및 자격증 대비반,20250308,20250426,8,64,해당없음,423680,148290
851,우수훈련기관 5년 인증,엠비씨(MBC)아카데미 컴퓨터교육센터 수원점,경기 수원시 팔달구,자바(JAVA) 프로그래밍 기초 향상,20250308,20250510,10,60,76.5,397200,99300
852,우수훈련기관 5년 인증,엠비씨(MBC)아카데미 컴퓨터교육센터 수원점,경기 수원시 팔달구,프로그래밍 언어 기초(C언어) 향상,20250308,20250412,6,36,76.5,238320,59580
853,우수훈련기관 5년 인증,엠비씨(MBC)아카데미 컴퓨터교육센터 수원점,경기 수원시 팔달구,프로그래밍 언어 기초(파이썬) 향상,20250308,20250412,6,36,76.5,238320,59580
854,훈련기관 3년 인증,경영기술개발원교육센터주식회사,서울 구로구,파이썬(Python) 프로그래밍 입문,20250309,20250420,6,42,해당없음,278040,97320
855,훈련기관 3년 인증,경인디지털컴퓨터학원,경기 부천시,아두이노 C언어 코딩,20250309,20250406,5,39,해당없음,258180,90370
856,우수훈련기관 5년 인증,주식회사경일게임아이티아카데미,서울 강동구,생성형 AI를 활용한 게임 기획자 부트캠프,20250310,20251029,160,1280,66.3,15628800,0
857,훈련기관 3년 인증,케이지에듀원 아이티뱅크종로학원,서울 종로구,핀테크 서비스를 위한 풀스택 개발자 양성 과정,20250310,20250908,121,968,48.1,9173730,0
858,우수훈련기관 5년 인증,(주)한국능률협회컨설팅,서울 마포구,[교보DTS] Cloud architecture DX Academy(CDA),20250310,20250730,100,700,해당없음,12705000,0
859,훈련기관 3년 인증,하이미디어컴퓨터학원,서울 구로구,"클라우드환경 자바(JAVA) 풀스택 AI융합 웹개발자(AWS, SpringBoot, React.js)",20250310,20250916,133,1064,56,10100550,0
860,우수훈련기관 5년 인증,그린컴퓨터아카데미 부산,부산 부산진구,[한번에 취득하는] 정보처리기사 실기 자격증 취득과정,20250310,20250407,13,39,77.3,258180,64550
861,훈련기관 3년 인증,대신IT평생교육원,서울 강동구,Chat GPT 활용하기,20250310,20250421,13,39,해당없음,258180,90370
