Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-02-27,71358.2890625,71847.71491340878,71162.51872213649,71554.05940286351,13201981
2024-02-28,71651.9609375,72337.15728526298,71260.42016734973,71358.3053598873,11795859
2024-02-29,71847.734375,71847.734375,70477.3416212534,71064.65280143052,21176403
2024-03-04,73316.015625,73413.90082610147,72435.04881508677,72728.7044183912,23210474
2024-03-05,72141.3828125,73218.11986940299,72141.3828125,73022.34949542063,19505125
2024-03-06,71358.2890625,71945.60008359054,71162.51872213649,71651.94457304527,21547905
2024-03-07,70673.1015625,71749.83856691483,70673.1015625,71554.06820247577,14516963
2024-03-08,71749.8515625,71847.73676244884,71064.65516285812,71260.4255627558,19271349
2024-03-11,70868.875,71554.07130524862,70770.98981353591,71358.30093232045,9740504
2024-03-12,71749.8515625,71945.62196239768,70575.22916311392,71064.65516285812,13011654
2024-03-13,72532.921875,72532.921875,71945.61076670041,72141.38113613361,15243134
2024-03-14,72728.6875,72924.45785666218,72043.49125168237,72826.57267833108,22545539
2024-03-15,70770.9921875,72141.38484396611,70770.9921875,71847.72927472337,22580555
2024-03-18,71260.40625,71456.17659684067,70966.75072973901,71064.63590315935,11520348
2024-03-19,71260.40625,71456.17659684067,70183.66934237638,70770.98038289836,15376066
2024-03-20,75273.7109375,75567.36650682705,71847.7292953511,72141.38486467816,50106297
2024-03-21,77622.9453125,77622.9453125,76056.78248147856,77525.06013556116,44569799
2024-03-22,77231.40625,78210.2580402408,76154.6692807351,77916.60250316857,26724761
2024-03-25,76546.21875,78112.38179347826,76154.67798913043,77916.61141304347,18703996
2024-03-26,78210.265625,78406.03600203378,77525.06930538172,78014.4952479662,30551494
2024-03-27,78112.3828125,78308.15319548872,77525.07166353383,77525.07166353383,17424595
2024-03-28,79450.640625,79647.30062654703,77877.36061262376,78074.02061417079,25084812
2024-03-29,81023.921875,81122.25187727548,79548.97184086771,79843.96184769418,27126366
2024-04-01,80630.609375,81908.89952362805,80630.609375,81810.56951219513,20116513
2024-04-02,83580.5078125,83580.5078125,81515.5776194853,81515.5776194853,37077944
2024-04-03,82695.5390625,83580.50915948275,82105.55899784483,82892.19908405172,30493347
2024-04-04,83875.4921875,84072.15219262896,82892.19216185522,83777.16218493553,25248934
